Algoritmo,Tipo de Vetor,Tamanho,Tempo (ns)
Bubble Sort,Crescente,10,7200
Bubble Sort,Decrescente,10,5000
Bubble Sort,Aleatorio,10,3500
Bubble Sort,Repetido,10,4300
Bubble Sort,Crescente,10,3300
Bubble Sort,Decrescente,10,4000
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2700
Bubble Sort,Decrescente,10,3800
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2800
Bubble Sort,Decrescente,10,3800
Bubble Sort,Aleatorio,10,3900
Bubble Sort,Repetido,10,4400
Bubble Sort,Crescente,10,3200
Bubble Sort,Decrescente,10,4100
Bubble Sort,Aleatorio,10,3500
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2800
Bubble Sort,Decrescente,10,3900
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2700
Bubble Sort,Decrescente,10,3800
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2800
Bubble Sort,Decrescente,10,3800
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3100
Bubble Sort,Crescente,10,2700
Bubble Sort,Decrescente,10,4600
Bubble Sort,Aleatorio,10,3300
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2800
Bubble Sort,Decrescente,10,3900
Bubble Sort,Aleatorio,10,4000
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2800
Bubble Sort,Decrescente,10,3800
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3100
Bubble Sort,Crescente,10,2600
Bubble Sort,Decrescente,10,3800
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,2700
Bubble Sort,Decrescente,10,3800
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Repetido,10,3200
Bubble Sort,Crescente,10,3200
Bubble Sort,Decrescente,10,3900
