Algoritmo,Tipo de Vetor,Tamanho,Tempo (ns)
Bubble Sort,Aleatorio,10,5300
Bubble Sort,Aleatorio,10,4100
Bubble Sort,Aleatorio,10,3300
Bubble Sort,Aleatorio,10,3400
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,4200
Bubble Sort,Aleatorio,10,3300
Bubble Sort,Aleatorio,10,3300
Bubble Sort,Aleatorio,10,3100
Bubble Sort,Aleatorio,10,4700
Insertion Sort,Aleatorio,10,1900
Insertion Sort,Aleatorio,10,1700
Insertion Sort,Aleatorio,10,1700
Insertion Sort,Aleatorio,10,1600
Insertion Sort,Aleatorio,10,1600
Insertion Sort,Aleatorio,10,1600
Insertion Sort,Aleatorio,10,1600
Insertion Sort,Aleatorio,10,1900
Insertion Sort,Aleatorio,10,1800
Insertion Sort,Aleatorio,10,1700
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2700
Selection Sort,Aleatorio,10,2800
Selection Sort,Aleatorio,10,2700
Selection Sort,Aleatorio,10,2700
Selection Sort,Aleatorio,10,2600
Selection Sort,Aleatorio,10,2600
Selection Sort,Aleatorio,10,2600
Selection Sort,Aleatorio,10,2600
Selection Sort,Aleatorio,10,2700
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2200
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2200
Shell Sort,Aleatorio,10,2200
Shell Sort,Aleatorio,10,2200
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2200
Heap Sort,Aleatorio,10,6500
Heap Sort,Aleatorio,10,4700
Heap Sort,Aleatorio,10,4500
Heap Sort,Aleatorio,10,4500
Heap Sort,Aleatorio,10,4900
Heap Sort,Aleatorio,10,4600
Heap Sort,Aleatorio,10,4600
Heap Sort,Aleatorio,10,4500
Heap Sort,Aleatorio,10,5400
Heap Sort,Aleatorio,10,5000
Merge Sort,Aleatorio,10,16600
Merge Sort,Aleatorio,10,12200
Merge Sort,Aleatorio,10,12900
Merge Sort,Aleatorio,10,14200
Merge Sort,Aleatorio,10,12200
Merge Sort,Aleatorio,10,12200
Merge Sort,Aleatorio,10,12100
Merge Sort,Aleatorio,10,12600
Merge Sort,Aleatorio,10,12100
Merge Sort,Aleatorio,10,15800
Quick Sort,Aleatorio,10,3000
Quick Sort,Aleatorio,10,2600
Quick Sort,Aleatorio,10,2400
Quick Sort,Aleatorio,10,2500
Quick Sort,Aleatorio,10,2800
Quick Sort,Aleatorio,10,2500
Quick Sort,Aleatorio,10,2400
Quick Sort,Aleatorio,10,2400
Quick Sort,Aleatorio,10,2300
Quick Sort,Aleatorio,10,2400
Counting Sort,Aleatorio,10,777000
Counting Sort,Aleatorio,10,34400
Counting Sort,Aleatorio,10,31000
Counting Sort,Aleatorio,10,29000
Counting Sort,Aleatorio,10,26500
Counting Sort,Aleatorio,10,29300
Counting Sort,Aleatorio,10,27500
Counting Sort,Aleatorio,10,26400
Counting Sort,Aleatorio,10,27400
Counting Sort,Aleatorio,10,38700
Radix Sort,Aleatorio,10,467700
Radix Sort,Aleatorio,10,24700
Radix Sort,Aleatorio,10,23600
Radix Sort,Aleatorio,10,24800
Radix Sort,Aleatorio,10,22400
Radix Sort,Aleatorio,10,22400
Radix Sort,Aleatorio,10,30500
Radix Sort,Aleatorio,10,42800
Radix Sort,Aleatorio,10,26900
Radix Sort,Aleatorio,10,21100
Bucket Sort,Aleatorio,10,1049900
Bucket Sort,Aleatorio,10,68700
Bucket Sort,Aleatorio,10,38100
Bucket Sort,Aleatorio,10,36600
Bucket Sort,Aleatorio,10,44500
Bucket Sort,Aleatorio,10,39200
Bucket Sort,Aleatorio,10,38300
Bucket Sort,Aleatorio,10,37900
