Algoritmo,Tipo de Vetor,Tamanho,Tempo (ns)
Bubble Sort,Aleatorio,10,6000
Bubble Sort,Aleatorio,10,6200
Bubble Sort,Aleatorio,10,3900
Bubble Sort,Aleatorio,10,4000
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3900
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,5400
Bubble Sort,Aleatorio,10,3900
Bubble Sort,Aleatorio,10,3900
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,4500
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3800
Insertion Sort,Aleatorio,10,2800
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,3000
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2900
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,2800
Insertion Sort,Aleatorio,10,3400
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2500
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Insertion Sort,Aleatorio,10,2600
Selection Sort,Aleatorio,10,3700
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3600
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3500
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2800
Selection Sort,Aleatorio,10,2900
Shell Sort,Aleatorio,10,2700
Shell Sort,Aleatorio,10,2400
Shell Sort,Aleatorio,10,2200
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2200
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2200
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2300
Shell Sort,Aleatorio,10,2400
Shell Sort,Aleatorio,10,2200
