Algoritmo,Tipo de Vetor,Tamanho,Tempo (ns)
Bubble Sort,Aleatorio,10,6900
Bubble Sort,Aleatorio,10,5900
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3600
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,5000
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,4500
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Bubble Sort,Aleatorio,10,3700
Bubble Sort,Aleatorio,10,3800
Insertion Sort,Aleatorio,10,3000
Insertion Sort,Aleatorio,10,2400
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2400
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2400
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2200
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2400
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2400
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2400
Insertion Sort,Aleatorio,10,2900
Insertion Sort,Aleatorio,10,2300
Insertion Sort,Aleatorio,10,2300
Selection Sort,Aleatorio,10,3100
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,3300
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3000
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,3600
Selection Sort,Aleatorio,10,2800
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2800
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2800
Selection Sort,Aleatorio,10,3200
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2900
Selection Sort,Aleatorio,10,2800
Shell Sort,Aleatorio,10,2900
Shell Sort,Aleatorio,10,2700
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2700
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2700
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2500
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2500
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2500
Shell Sort,Aleatorio,10,2500
Shell Sort,Aleatorio,10,2500
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2500
Shell Sort,Aleatorio,10,2500
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,3200
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,57900
Shell Sort,Aleatorio,10,2700
Shell Sort,Aleatorio,10,2600
Shell Sort,Aleatorio,10,2600
Heap Sort,Aleatorio,10,5500
Heap Sort,Aleatorio,10,4400
Heap Sort,Aleatorio,10,4300
Heap Sort,Aleatorio,10,4300
Heap Sort,Aleatorio,10,4200
Heap Sort,Aleatorio,10,4700
Heap Sort,Aleatorio,10,4200
Heap Sort,Aleatorio,10,4200
Heap Sort,Aleatorio,10,4300
Heap Sort,Aleatorio,10,4600
Heap Sort,Aleatorio,10,4200
Heap Sort,Aleatorio,10,4100
Heap Sort,Aleatorio,10,4200
Heap Sort,Aleatorio,10,4200
Heap Sort,Aleatorio,10,21600
Heap Sort,Aleatorio,10,4500
Heap Sort,Aleatorio,10,4300
Heap Sort,Aleatorio,10,4300
Heap Sort,Aleatorio,10,4800
Heap Sort,Aleatorio,10,4100
Heap Sort,Aleatorio,10,4100
Heap Sort,Aleatorio,10,4100
Heap Sort,Aleatorio,10,4100
Heap Sort,Aleatorio,10,4900
Heap Sort,Aleatorio,10,4200
Heap Sort,Aleatorio,10,4600
Heap Sort,Aleatorio,10,4000
Heap Sort,Aleatorio,10,4500
Heap Sort,Aleatorio,10,4100
Heap Sort,Aleatorio,10,4000
Merge Sort,Aleatorio,10,16600
Merge Sort,Aleatorio,10,12000
Merge Sort,Aleatorio,10,12500
Merge Sort,Aleatorio,10,12500
Merge Sort,Aleatorio,10,11900
Merge Sort,Aleatorio,10,11900
Merge Sort,Aleatorio,10,12000
Merge Sort,Aleatorio,10,12600
Merge Sort,Aleatorio,10,12100
Merge Sort,Aleatorio,10,13800
Merge Sort,Aleatorio,10,16200
Merge Sort,Aleatorio,10,11900
Merge Sort,Aleatorio,10,12000
Merge Sort,Aleatorio,10,14300
Merge Sort,Aleatorio,10,14200
Merge Sort,Aleatorio,10,13200
Merge Sort,Aleatorio,10,17700
Merge Sort,Aleatorio,10,21800
Merge Sort,Aleatorio,10,15200
Merge Sort,Aleatorio,10,12300
Merge Sort,Aleatorio,10,12100
Merge Sort,Aleatorio,10,20200
Merge Sort,Aleatorio,10,19600
Merge Sort,Aleatorio,10,14000
Merge Sort,Aleatorio,10,13400
Merge Sort,Aleatorio,10,30800
Merge Sort,Aleatorio,10,13300
Merge Sort,Aleatorio,10,12300
Merge Sort,Aleatorio,10,13800
Merge Sort,Aleatorio,10,13900
Quick Sort,Aleatorio,10,2700
Quick Sort,Aleatorio,10,2200
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2500
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2500
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2600
Quick Sort,Aleatorio,10,2600
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2100
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2000
Quick Sort,Aleatorio,10,2600
Quick Sort,Aleatorio,10,2000
Counting Sort,Aleatorio,10,1085700
Counting Sort,Aleatorio,10,49800
Counting Sort,Aleatorio,10,25000
Counting Sort,Aleatorio,10,32900
Counting Sort,Aleatorio,10,51700
Counting Sort,Aleatorio,10,24600
Counting Sort,Aleatorio,10,26200
Counting Sort,Aleatorio,10,24100
Counting Sort,Aleatorio,10,35800
Counting Sort,Aleatorio,10,28000
Counting Sort,Aleatorio,10,27100
Counting Sort,Aleatorio,10,23600
Counting Sort,Aleatorio,10,25400
Counting Sort,Aleatorio,10,24000
Counting Sort,Aleatorio,10,30700
Counting Sort,Aleatorio,10,24500
Counting Sort,Aleatorio,10,23400
Counting Sort,Aleatorio,10,24900
Counting Sort,Aleatorio,10,24100
Counting Sort,Aleatorio,10,31900
Counting Sort,Aleatorio,10,24500
Counting Sort,Aleatorio,10,25900
Counting Sort,Aleatorio,10,24500
Counting Sort,Aleatorio,10,24200
Counting Sort,Aleatorio,10,25500
Counting Sort,Aleatorio,10,27000
Counting Sort,Aleatorio,10,33400
Counting Sort,Aleatorio,10,29200
Counting Sort,Aleatorio,10,24700
Counting Sort,Aleatorio,10,28100
Radix Sort,Aleatorio,10,624100
Radix Sort,Aleatorio,10,67900
Radix Sort,Aleatorio,10,31000
Radix Sort,Aleatorio,10,22800
Radix Sort,Aleatorio,10,44000
Radix Sort,Aleatorio,10,31100
